# metric_direction: higher_is_better
iteration	commit	metric	delta	guard	status	description
0	4a6692b	17.19	0.0	pass	baseline	initial state — direct address density 17.19 per 1000 words
1	415268f	18.93	+1.74	pass	keep	rewrite Article 1 with direct address — third-person to reader-facing you/your
2	0d5ff02	21.23	+2.30	pass	keep	rewrite Article 3 (P480B Problem) with direct address — industry descriptions to 'if you're in X'
3	a50d8e1	23.07	+1.84	pass	keep	rewrite Article 2 (Fake Resort Pages) with direct address — 'imagine this at your resort'
4	7eabd48	24.29	+1.22	pass	keep	rewrite Article 5 ([X] Businesses Verified) with direct address — 'if you run a X' framing
5	3365d7a	24.53	+0.24	pass	keep	add 'Why this angle' reasoning note to Ad 1 with direct address
6	4cc9f77	25.39	+0.86	pass	keep	add 'Why this angle' reasoning notes to Ad 2 and Ad 3
7	1201c43	26.25	+0.86	pass	keep	add 'Why this angle' notes to Ads 4/5/6 — blame reversal, scale shock, trust erosion
8	40f87d8	26.85	+0.60	pass	keep	add 'Why this angle' notes to Ads 7-10 — procedural pain, diligence failure, competitive FOMO, lost sale
9	abacf91	26.98	+0.13	pass	keep	add 'Why this works' reasoning to consumer posts C1, C2
10	30d3fb3	27.30	+0.32	pass	keep	add 'Why this works' reasoning to C3/C4/C5 consumer posts
11	-	27.66	+0.36	pass	keep	add 'Why this works' to C6 (how to check), C7 (GCash check), C8 (3 signs) — no commit yet
12	-	27.90	+0.24	pass	keep	add 'Why this works' to C9/C10/C11/C12 habit formation consumer posts
13	-	29.07	+1.17	pass	keep	add Why this works notes to Reels R1–R5 (social proof inversion, stat bomb, real incident, tutorial habit, pattern inversion)
14	-	29.82	+0.75	pass	keep	add Why this works notes to E1/E2 (infographic + carousel) and I1/I2/I3 (poll, bingo card, scenario post)
15	-	30.04	+0.22	pass	keep	add Why this works notes to seasonal posts SG1/SG2/SG3 (barkada booking, group responsibility, red flag checklist)
16	-	29.80	-0.24	pass	keep (user-edit)	remove SG2 Holy Week reel (too late to publish), update timing refs to summer-only, revise I3 Why this works angle
17	-	29.72	-0.08	pass	keep (user-requested)	add Why this angle notes to B2B Articles 1–5 (authority, storytelling, reframe, objection-killer, social proof)
18	-	30.42	+0.70	pass	keep	add Why this works notes to Consumer Articles 1–5 (checklist upgrade, first-person trust, payoff reveal, GCash habit, family pagmamahal)
19	-	31.02	+0.60	pass	keep	convert bare customer/customers to your customer/customers in Article 4 and ad copy (B2B direct address tightening)
20	-	31.05	+0.03	pass	keep	convert remaining bare customer references: Article 4 list item, Ad 2 creative direction
